Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_30deg_sub_ave_cm-1.dat
  3.216593e+00   1.466017e-04   1.437302e-04
  3.229248e+00   8.566107e-05   1.393726e-04
  3.241901e+00   9.686607e-05   1.437695e-04
  3.254554e+00   2.023715e-04   1.421371e-04
  3.267206e+00   1.369263e-04   1.428648e-04
  3.279857e+00   3.491365e-04   1.432357e-04
  3.292507e+00   3.783970e-05   1.393998e-04
  3.305157e+00  -2.465641e-04   1.407364e-04
  3.317806e+00   1.910828e-04   1.397849e-04
  3.330455e+00   2.634166e-04   1.414419e-04
  3.343103e+00  -6.100071e-05   1.402802e-04
  3.355749e+00   2.656591e-04   1.413148e-04
  3.368396e+00  -7.087520e-05   1.383072e-04
  3.381041e+00   1.604104e-04   1.394845e-04
  3.393686e+00   3.748957e-04   1.398360e-04
  3.406330e+00   1.318870e-04   1.391573e-04
  3.418973e+00   2.800490e-04   1.401247e-04
  3.431616e+00  -2.418273e-04   1.386706e-04
  3.444258e+00   1.622023e-04   1.393315e-04
  3.456899e+00   5.348403e-05   1.380295e-04
  3.469539e+00   8.507730e-06   1.376787e-04
  3.482179e+00   5.875281e-05   1.392874e-04
  3.494817e+00   1.571698e-04   1.386442e-04
  3.507455e+00   8.761883e-05   1.365349e-04
  3.520093e+00   5.514781e-04   1.394935e-04
  3.532729e+00   2.202976e-05   1.353213e-04
  3.545365e+00   3.841878e-04   1.380577e-04
  3.558000e+00   2.847809e-04   1.361814e-04
  3.570634e+00  -5.149173e-05   1.373123e-04
  3.583267e+00   8.912204e-05   1.368071e-04
  3.595900e+00  -9.490811e-05   1.354763e-04
  3.608532e+00  -1.994220e-04   1.348018e-04
  3.621163e+00  -8.269837e-05   1.340856e-04
  3.633793e+00  -2.931424e-04   1.352345e-04
  3.646423e+00   2.086928e-04   1.353508e-04
  3.659051e+00   2.552924e-04   1.363595e-04
  3.671679e+00   3.804097e-04   1.364611e-04
  3.684307e+00   2.933778e-05   1.343820e-04
  3.696933e+00   9.512332e-05   1.364803e-04
  3.709558e+00   1.351418e-04   1.338749e-04
  3.722183e+00   1.115925e-04   1.346053e-04
  3.734807e+00   4.252505e-05   1.375784e-04
  3.747430e+00  -5.780230e-05   1.363938e-04
  3.760052e+00   4.147839e-04   1.414682e-04
  3.772674e+00   1.971209e-04   1.389606e-04
  3.785294e+00   4.282142e-04   1.424055e-04
  3.797914e+00   3.552528e-04   1.424959e-04
  3.810533e+00  -1.041697e-04   1.423661e-04
  3.823152e+00   1.242004e-04   1.430312e-04
  3.835769e+00   3.367999e-04   1.435991e-04
  3.848385e+00   5.241990e-05   1.444542e-04
  3.861001e+00  -7.609388e-05   1.419794e-04
  3.873616e+00   8.595163e-05   1.431836e-04
  3.886230e+00   1.560495e-04   1.466561e-04
  3.898843e+00   1.220031e-04   1.442132e-04
  3.911455e+00   5.316694e-04   1.471814e-04
  3.924067e+00  -1.477486e-04   1.444668e-04
  3.936678e+00   4.553603e-04   1.458522e-04
  3.949287e+00   1.173946e-04   1.460084e-04
  3.961896e+00   5.970388e-05   1.425998e-04
  3.974504e+00   3.651064e-04   1.459182e-04
  3.987112e+00   7.730934e-05   1.430515e-04
  3.999718e+00   8.164883e-05   1.449122e-04
  4.012323e+00   1.820023e-04   1.439670e-04
  4.024928e+00   1.150909e-04   1.442914e-04
  4.037532e+00   2.946109e-04   1.456038e-04
  4.050135e+00  -7.227561e-05   1.428717e-04
  4.062737e+00  -3.190007e-04   1.492092e-04
  4.075338e+00  -1.192817e-05   1.492182e-04
  4.087938e+00   2.530795e-04   1.508728e-04
  4.100537e+00   7.606026e-05   1.562367e-04
  4.113136e+00   3.335738e-04   1.524992e-04
  4.125733e+00   9.838408e-05   1.574627e-04
  4.138330e+00   2.272227e-04   1.543430e-04
  4.150926e+00   1.328252e-04   1.570816e-04
  4.163521e+00   2.903862e-04   1.613617e-04
  4.176115e+00  -2.588877e-04   1.574488e-04
  4.188708e+00   3.142652e-04   1.615203e-04
  4.201300e+00   2.575428e-04   1.600137e-04
  4.213891e+00   2.776237e-04   1.643170e-04
  4.226482e+00   1.100683e-04   1.613314e-04
  4.239071e+00   2.087088e-04   1.617166e-04
  4.251660e+00  -7.124862e-06   1.627020e-04
  4.264247e+00   2.405345e-04   1.632419e-04
  4.276834e+00   3.414408e-04   1.646470e-04
