Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): TipAS_1.96mgml-1_30degBack_sub_ave_cm-1.dat
  3.267206e+00   2.568636e-04   1.436202e-04
  3.279857e+00   4.446931e-04   1.438432e-04
  3.292507e+00   3.028599e-04   1.410040e-04
  3.305157e+00   1.336177e-05   1.423492e-04
  3.317806e+00   1.924463e-04   1.398249e-04
  3.330455e+00   5.498526e-04   1.432037e-04
  3.343103e+00  -2.391534e-04   1.392435e-04
  3.355749e+00  -1.764977e-04   1.386941e-04
  3.368396e+00   2.951452e-04   1.405321e-04
  3.381041e+00   1.823815e-04   1.396461e-04
  3.393686e+00   2.779369e-04   1.392897e-04
  3.406330e+00   2.132188e-04   1.396689e-04
  3.418973e+00   1.777732e-04   1.395449e-04
  3.431616e+00  -2.455163e-04   1.386797e-04
  3.444258e+00   7.821281e-05   1.388695e-04
  3.456899e+00   2.316606e-04   1.391091e-04
  3.469539e+00   1.138531e-04   1.383230e-04
  3.482179e+00  -6.973444e-05   1.385594e-04
  3.494817e+00   1.828622e-04   1.388263e-04
  3.507455e+00   8.729020e-05   1.365642e-04
  3.520093e+00   3.264945e-04   1.382122e-04
  3.532729e+00  -2.845275e-05   1.350577e-04
  3.545365e+00   6.306184e-04   1.395274e-04
  3.558000e+00   5.044844e-04   1.374838e-04
  3.570634e+00   5.099018e-05   1.379435e-04
  3.583267e+00   5.496250e-05   1.366389e-04
  3.595900e+00  -1.654826e-04   1.350980e-04
  3.608532e+00   4.274767e-04   1.384356e-04
  3.621163e+00   5.992827e-06   1.346291e-04
  3.633793e+00   3.124655e-05   1.371432e-04
  3.646423e+00   3.415098e-04   1.361488e-04
  3.659051e+00  -2.015928e-04   1.337586e-04
  3.671679e+00   3.602717e-04   1.363757e-04
  3.684307e+00   7.708291e-05   1.346835e-04
  3.696933e+00  -1.397824e-04   1.351605e-04
  3.709558e+00   2.077220e-04   1.343201e-04
  3.722183e+00  -2.676221e-05   1.338427e-04
  3.734807e+00   4.338121e-05   1.376149e-04
  3.747430e+00  -6.783898e-05   1.363657e-04
  3.760052e+00   2.088951e-05   1.391584e-04
  3.772674e+00   1.858894e-04   1.389260e-04
  3.785294e+00   3.525786e-04   1.419841e-04
  3.797914e+00   3.264626e-04   1.423565e-04
  3.810533e+00   5.980128e-06   1.430625e-04
  3.823152e+00   1.788841e-04   1.433956e-04
  3.835769e+00  -1.930734e-04   1.404386e-04
  3.848385e+00   1.040369e-04   1.447998e-04
  3.861001e+00   9.826949e-05   1.430721e-04
  3.873616e+00   2.038870e-04   1.439402e-04
  3.886230e+00  -1.320673e-04   1.449152e-04
  3.898843e+00  -1.248627e-04   1.427426e-04
  3.911455e+00   3.884610e-04   1.463360e-04
  3.924067e+00  -1.404645e-04   1.445438e-04
  3.936678e+00   4.140046e-04   1.456328e-04
  3.949287e+00  -8.144061e-05   1.448037e-04
  3.961896e+00   2.342296e-04   1.436921e-04
  3.974504e+00   4.298937e-04   1.463535e-04
  3.987112e+00  -9.067260e-05   1.420561e-04
  3.999718e+00   3.643412e-04   1.466853e-04
  4.012323e+00   1.391749e-04   1.437366e-04
  4.024928e+00   2.076795e-04   1.448931e-04
  4.037532e+00   1.822266e-04   1.449404e-04
  4.050135e+00   1.177470e-05   1.434207e-04
  4.062737e+00  -2.191921e-04   1.498744e-04
  4.075338e+00   3.311134e-04   1.514331e-04
  4.087938e+00   4.558773e-04   1.522121e-04
  4.100537e+00  -1.307619e-04   1.549173e-04
