q[nm-1]	merged(TipAS_1.96mgml-1_30deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_30deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_30deg_1-2_ave_sub.dat],scale_high,lq=0.9025,hq=0.9995)	error
1.84424400e+00	6.16617536e-04	2.77541995e-05
1.84940600e+00	5.92756005e-04	2.75185949e-05
1.85456800e+00	6.04043322e-04	2.78561350e-05
1.85972900e+00	5.64821140e-04	2.77599033e-05
1.86489100e+00	6.34735453e-04	2.75361710e-05
1.87005300e+00	6.34785431e-04	2.78330316e-05
1.87521500e+00	5.34399710e-04	2.76086490e-05
1.88037600e+00	5.35253430e-04	2.75444388e-05
1.88553800e+00	5.48369232e-04	2.77326846e-05
1.89070000e+00	5.73659329e-04	2.75271414e-05
1.89586200e+00	5.31359202e-04	2.73974577e-05
1.90102300e+00	5.52484276e-04	2.75975107e-05
1.90618500e+00	5.36253091e-04	2.75303371e-05
1.91134700e+00	5.34108107e-04	2.73301355e-05
1.91650900e+00	5.65724932e-04	2.75955598e-05
1.92167000e+00	5.16090148e-04	2.73329595e-05
1.92683200e+00	5.31734040e-04	2.74840745e-05
1.93199400e+00	5.15132197e-04	2.74999784e-05
1.93715600e+00	4.69146023e-04	2.72631941e-05
1.94231700e+00	5.26240409e-04	2.72520558e-05
1.94747900e+00	5.51188925e-04	2.74617608e-05
1.95264100e+00	4.95431507e-04	2.73410137e-05
1.95780300e+00	5.05244461e-04	2.72112463e-05
1.96296400e+00	5.04586381e-04	2.73732024e-05
1.96812600e+00	4.76463958e-04	2.72486279e-05
1.97328800e+00	4.96339479e-04	2.71908648e-05
1.97845000e+00	4.93461540e-04	2.73278130e-05
1.98361100e+00	4.76622254e-04	2.71760849e-05
1.98877300e+00	4.83711199e-04	2.70460389e-05
1.99393500e+00	4.54814110e-04	2.71955189e-05
1.99909700e+00	4.68733654e-04	2.70719849e-05
2.00425900e+00	4.84623258e-04	2.70235950e-05
2.00942000e+00	4.73377652e-04	2.72379820e-05
2.01458200e+00	4.47291988e-04	2.71509564e-05
2.01974400e+00	4.47604400e-04	2.70410410e-05
2.02490600e+00	4.60449408e-04	2.70941222e-05
2.03006700e+00	4.59124887e-04	2.70410317e-05
2.03522900e+00	4.24226023e-04	2.68448247e-05
2.04039100e+00	4.34976026e-04	2.70761002e-05
2.04555300e+00	4.37858238e-04	2.69067682e-05
2.05071400e+00	4.26949940e-04	2.68590193e-05
2.05587600e+00	3.64965844e-04	2.70277661e-05
2.06103800e+00	4.37079393e-04	2.68808221e-05
2.06620000e+00	4.27949601e-04	2.69510149e-05
2.07136200e+00	3.90047759e-04	2.69263601e-05
2.07652300e+00	3.88635730e-04	2.67835036e-05
2.08168500e+00	4.31768954e-04	2.67401673e-05
2.08684700e+00	4.49170452e-04	2.68792243e-05
2.09200800e+00	4.00589395e-04	2.68098584e-05
2.09717000e+00	3.58697455e-04	2.67286388e-05
2.10233200e+00	3.79164450e-04	2.68436077e-05
2.10749400e+00	3.57156392e-04	2.67762576e-05
2.11265500e+00	3.54599040e-04	2.73808013e-05
2.11781700e+00	3.76723775e-04	2.76884286e-05
2.12297900e+00	3.37339117e-04	2.76704160e-05
2.12814100e+00	3.46406390e-04	2.79614055e-05
2.13330200e+00	3.29883695e-04	2.82291337e-05
2.13846400e+00	3.85816037e-04	2.82283719e-05
2.14362600e+00	3.61183927e-04	2.85495993e-05
2.14878800e+00	3.88406739e-04	2.86666863e-05
2.15394900e+00	3.54707264e-04	2.86582327e-05
2.15911100e+00	3.60346836e-04	2.88275926e-05
2.16427300e+00	3.34361036e-04	2.89620234e-05
2.16943500e+00	3.76573840e-04	2.89111532e-05
2.17459700e+00	2.93864404e-04	2.87804383e-05
2.17975800e+00	3.81730163e-04	2.84721421e-05
2.18492000e+00	3.34252811e-04	2.80576836e-05
2.19008200e+00	3.25314665e-04	2.78690662e-05
2.19524400e+00	3.46427198e-04	2.80122014e-05
2.20040500e+00	3.23773602e-04	2.78500317e-05
2.20556700e+00	2.98974929e-04	2.75497060e-05
2.21072900e+00	3.72125576e-04	2.76309535e-05
2.21589100e+00	3.44761282e-04	2.74574411e-05
2.22105200e+00	3.09170896e-04	2.71783609e-05
2.22621400e+00	3.07167579e-04	2.74175234e-05
2.23137600e+00	3.28084472e-04	2.72059512e-05
2.23653800e+00	2.90719759e-04	2.72744439e-05
2.24169900e+00	2.76400388e-04	2.73265125e-05
2.24686100e+00	2.92785688e-04	2.71784445e-05
2.25202300e+00	3.38888541e-04	2.69405826e-05
2.25718500e+00	3.13094387e-04	2.72141354e-05
2.26234700e+00	3.14381470e-04	2.69252267e-05
2.26750800e+00	2.78149725e-04	2.68952025e-05
2.27267000e+00	2.83768394e-04	2.70678231e-05
2.27783200e+00	3.34011280e-04	2.69357241e-05
2.28299400e+00	3.17675958e-04	2.69442706e-05
2.28815500e+00	2.84409753e-04	2.71559914e-05
2.29331700e+00	2.56549762e-04	2.68049163e-05
2.29847900e+00	2.78712028e-04	2.68352192e-05
2.30364100e+00	2.70736013e-04	2.69518695e-05
2.30880200e+00	2.97908661e-04	2.67454067e-05
2.31396400e+00	2.68470170e-04	2.66496116e-05
2.31912600e+00	2.58378248e-04	2.68793729e-05
2.32428800e+00	2.97758726e-04	2.66014354e-05
2.32944900e+00	2.67666243e-04	2.67790724e-05
2.33461100e+00	3.01382346e-04	2.68229382e-05
2.33977300e+00	2.82506393e-04	2.66367454e-05
2.34493500e+00	2.93801978e-04	2.66469362e-05
2.35009600e+00	2.76937702e-04	2.66976949e-05
2.35525800e+00	2.43338370e-04	2.64382438e-05
2.36042000e+00	2.60794026e-04	2.65663483e-05
2.36558200e+00	2.44358747e-04	2.66092573e-05
2.37074400e+00	2.45450004e-04	2.65299607e-05
2.37590500e+00	2.81619230e-04	2.65109633e-05
2.38106700e+00	3.01736375e-04	2.67266044e-05
2.38622900e+00	2.72885085e-04	2.63593095e-05
2.39139100e+00	2.21838364e-04	2.64398788e-05
2.39655200e+00	2.59590271e-04	2.65790473e-05
2.40171400e+00	2.56266613e-04	2.63422072e-05
2.40687600e+00	2.75538214e-04	2.63865097e-05
2.41203800e+00	2.35233228e-04	2.64544264e-05
2.41719900e+00	2.30934806e-04	2.62461242e-05
2.42236100e+00	2.58178334e-04	2.64152426e-05
