q[nm-1]	merged(TipAS_1.96mgml-1_15deg_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_15deg_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_15deg_1-2_ave_sub.dat],scale_high,lq=0.9058,hq=1.0031)	error
2.64947900e+00	2.25984178e-04	2.69527594e-05
2.65464000e+00	2.12033202e-04	2.70100988e-05
2.65980200e+00	2.31745535e-04	2.69876066e-05
2.66496400e+00	2.01257501e-04	2.68189388e-05
2.67012600e+00	1.63599848e-04	2.68744602e-05
2.67528700e+00	1.74601804e-04	2.68881574e-05
2.68044900e+00	1.84485717e-04	2.67176239e-05
2.68561100e+00	2.25932969e-04	2.68744222e-05
2.69077300e+00	2.16360692e-04	2.67975032e-05
2.69593500e+00	1.86047607e-04	2.67400971e-05
2.70109600e+00	2.29475088e-04	2.68680352e-05
2.70625800e+00	2.11798571e-04	2.68146936e-05
2.71142000e+00	1.65665362e-04	2.66641776e-05
2.71658100e+00	2.24874607e-04	2.67304454e-05
2.72174300e+00	2.27004181e-04	2.67134358e-05
2.72690500e+00	2.13761666e-04	2.65938644e-05
2.73206700e+00	2.16113115e-04	2.67702708e-05
2.73722800e+00	1.58888382e-04	2.66431036e-05
2.74239000e+00	1.77030068e-04	2.66179367e-05
2.74755200e+00	2.53860337e-04	2.66870886e-05
2.75271400e+00	2.13655059e-04	2.66927331e-05
2.75787500e+00	2.55418039e-04	2.65855358e-05
2.76303700e+00	2.06468307e-04	2.65579511e-05
2.76819900e+00	1.85928150e-04	2.65368582e-05
2.77336100e+00	1.65545905e-04	2.63782038e-05
2.77852200e+00	1.79791289e-04	2.65170882e-05
2.78368400e+00	2.17512906e-04	2.64904650e-05
2.78884600e+00	2.04671595e-04	2.64044273e-05
2.79400800e+00	1.89969609e-04	2.64983749e-05
2.79917000e+00	1.75037180e-04	2.65203912e-05
2.80433100e+00	2.21477550e-04	2.62743475e-05
2.80949300e+00	1.97962958e-04	2.64350293e-05
2.81465500e+00	1.32736309e-04	2.62636487e-05
2.81981700e+00	1.50681724e-04	2.61332263e-05
2.82497800e+00	1.89794659e-04	2.63325531e-05
2.83014000e+00	1.75254773e-04	2.62422131e-05
2.83530200e+00	1.96102187e-04	2.62227192e-05
2.84046400e+00	1.49508188e-04	2.63542743e-05
2.84562500e+00	1.60015087e-04	2.63558449e-05
2.85078700e+00	1.83465715e-04	2.62120013e-05
2.85594900e+00	1.85134403e-04	2.63357228e-05
2.86111100e+00	1.81395917e-04	2.62581661e-05
2.86627200e+00	2.14435956e-04	2.61514447e-05
2.87143400e+00	1.84643629e-04	2.63819541e-05
2.87659600e+00	2.24947138e-04	2.61600018e-05
2.88175800e+00	1.95829101e-04	2.61678450e-05
2.88691900e+00	1.68618571e-04	2.62055573e-05
2.89208100e+00	1.95671189e-04	2.62042533e-05
2.89724300e+00	1.93511728e-04	2.59616363e-05
2.90240500e+00	2.10501199e-04	2.61135610e-05
2.90756700e+00	1.72600254e-04	2.60700520e-05
2.91272800e+00	1.27811439e-04	2.59227627e-05
2.91789000e+00	1.86777391e-04	2.62085842e-05
2.92305200e+00	1.75873666e-04	2.60554411e-05
2.92821400e+00	1.74546311e-04	2.62767081e-05
2.93337500e+00	1.93524578e-04	2.67821498e-05
2.93853700e+00	2.15391899e-04	2.70323245e-05
2.94369900e+00	1.35279842e-04	2.71822409e-05
2.94886100e+00	1.44753984e-04	2.74471407e-05
2.95402200e+00	2.08956347e-04	2.74745825e-05
2.95918400e+00	2.43391893e-04	2.77896733e-05
2.96434600e+00	1.61367856e-04	2.79329838e-05
2.96950800e+00	1.69903188e-04	2.77738917e-05
2.97466900e+00	2.11457142e-04	2.81672150e-05
2.97983100e+00	1.67521850e-04	2.83669512e-05
2.98499300e+00	1.64470505e-04	2.82610198e-05
2.99015500e+00	1.56383304e-04	2.83534825e-05
2.99531700e+00	2.22992610e-04	2.82845210e-05
3.00047800e+00	2.00937394e-04	2.77194363e-05
3.00564000e+00	1.26992086e-04	2.73247233e-05
3.01080200e+00	1.54787242e-04	2.74674912e-05
