q[nm-1]	merged(TipAS_1.96mgml-1_30degBack_sub_ave_cm-1_divconc_nm-1.dat_00001_[493]TipAS_NaP_30degBACK_1-2_ave_sub_cm-1_divconc.dat_00001_[TipAS_NaP_30degBACK_1-2_ave_sub.dat],scale_high,lq=0.8992,hq=1.0068)	error
2.33977300e+00	2.74954391e-04	2.35843581e-05
2.34493500e+00	2.66912150e-04	2.35510156e-05
2.35009600e+00	3.09892386e-04	2.36206789e-05
2.35525800e+00	2.73905739e-04	2.34060520e-05
2.36042000e+00	2.30125806e-04	2.34987008e-05
2.36558200e+00	2.43634007e-04	2.35347356e-05
2.37074400e+00	2.64166002e-04	2.35068955e-05
2.37590500e+00	2.32966184e-04	2.34307875e-05
2.38106700e+00	2.23554655e-04	2.36370262e-05
2.38622900e+00	2.72385514e-04	2.33026088e-05
2.39139100e+00	2.83517339e-04	2.34221301e-05
2.39655200e+00	2.79398034e-04	2.34987682e-05
2.40171400e+00	2.78941605e-04	2.33220775e-05
2.40687600e+00	2.48654813e-04	2.33612168e-05
2.41203800e+00	2.91031468e-04	2.34137503e-05
2.41719900e+00	2.60295735e-04	2.32075958e-05
2.42236100e+00	1.98149006e-04	2.33665004e-05
2.42752300e+00	2.48771760e-04	2.33936759e-05
2.43268500e+00	2.34361974e-04	2.32192400e-05
2.43784600e+00	2.65131613e-04	2.31138364e-05
2.44300800e+00	2.13716818e-04	2.32074191e-05
2.44817000e+00	2.43849055e-04	2.29809965e-05
2.45333200e+00	2.35742620e-04	2.31246056e-05
2.45849300e+00	2.10570780e-04	2.30567259e-05
2.46365500e+00	2.30718028e-04	2.29486384e-05
2.46881700e+00	2.30944350e-04	2.29845049e-05
2.47397900e+00	2.04776695e-04	2.30109736e-05
2.47914100e+00	2.08315052e-04	2.28131400e-05
2.48430200e+00	2.17043829e-04	2.29423031e-05
2.48946400e+00	2.11046139e-04	2.28841746e-05
2.49462600e+00	2.27345668e-04	2.27667987e-05
2.49978800e+00	2.13075461e-04	2.28819535e-05
2.50494900e+00	2.51706452e-04	2.28853441e-05
2.51011100e+00	2.34663764e-04	2.27811352e-05
2.51527300e+00	2.14459893e-04	2.28522625e-05
2.52043500e+00	2.21449781e-04	2.29322743e-05
2.52559600e+00	2.79345282e-04	2.27612206e-05
2.53075800e+00	2.08247155e-04	2.27772987e-05
2.53592000e+00	2.11238470e-04	2.28181712e-05
2.54108200e+00	2.41853555e-04	2.27149130e-05
2.54624300e+00	2.42962531e-04	2.28191472e-05
2.55140500e+00	2.03282972e-04	2.27411293e-05
2.55656700e+00	2.15289795e-04	2.27315548e-05
2.56172900e+00	1.92479440e-04	2.27787206e-05
2.56689000e+00	2.05493436e-04	2.27827506e-05
2.57205200e+00	2.07077771e-04	2.28757949e-05
2.57721400e+00	2.27839874e-04	2.33118383e-05
2.58237600e+00	2.00970622e-04	2.35820360e-05
2.58753800e+00	2.27519238e-04	2.37236679e-05
2.59269900e+00	1.82524572e-04	2.37602074e-05
